case;event;time;resource
2278;W_Nabellen offertes;22.11.2011-12:44:09;10909
2278;W_Nabellen offertes;22.11.2011-17:31:38;11119
2278;W_Nabellen offertes;22.11.2011-18:32:54;11119
2278;W_Nabellen offertes;22.11.2011-19:03:44;11122
2279;W_Afhandelen leads;08.11.2011-11:13:16;-1
2279;W_Afhandelen leads;08.11.2011-11:13:48;-1
2280;W_Afhandelen leads;08.11.2011-11:31:23;-1
2280;W_Completeren aanvraag;08.11.2011-11:36:22;11189
2280;W_Completeren aanvraag;08.11.2011-17:56:22;11181
2280;W_Completeren aanvraag;09.11.2011-13:25:09;10861
2280;W_Completeren aanvraag;10.11.2011-19:51:11;11180
2280;W_Completeren aanvraag;11.11.2011-14:33:43;-1
2280;W_Completeren aanvraag;11.11.2011-14:43:53;-1
2280;W_Completeren aanvraag;11.11.2011-19:50:58;11201
2280;W_Completeren aanvraag;12.11.2011-12:19:35;-1
2280;W_Completeren aanvraag;14.11.2011-17:00:03;10881
2280;W_Completeren aanvraag;14.11.2011-17:10:07;10881
2280;W_Completeren aanvraag;15.11.2011-17:13:57;11181
2280;W_Completeren aanvraag;15.11.2011-17:22:58;11181
2280;W_Completeren aanvraag;16.11.2011-08:51:48;10910
2281;W_Afhandelen leads;08.11.2011-11:45:24;-1
2281;W_Completeren aanvraag;08.11.2011-11:55:21;-1
2281;W_Nabellen offertes;16.11.2011-11:47:42;-1
2281;W_Nabellen offertes;21.11.2011-10:48:34;-1
2281;W_Nabellen offertes;21.11.2011-19:05:33;11201
2281;W_Nabellen offertes;22.11.2011-10:27:59;11189
2282;W_Completeren aanvraag;08.11.2011-16:10:03;11169
2282;W_Completeren aanvraag;08.11.2011-16:32:12;11119
2282;W_Nabellen offertes;08.11.2011-16:36:53;11119
2282;W_Nabellen offertes;12.11.2011-09:54:11;-1
2282;W_Nabellen offertes;15.11.2011-12:06:44;10932
2282;W_Nabellen offertes;16.11.2011-11:49:21;10863
2282;W_Nabellen offertes;17.11.2011-08:20:43;-1
2282;W_Nabellen offertes;17.11.2011-08:40:57;11049
2282;W_Valideren aanvraag;18.11.2011-11:47:41;10138
2282;W_Valideren aanvraag;18.11.2011-12:53:05;10138
2282;W_Nabellen incomplete dossiers;18.11.2011-13:44:15;10932
2283;W_Completeren aanvraag;08.11.2011-17:01:05;11181
2283;W_Completeren aanvraag;08.11.2011-17:07:43;11181
2283;W_Nabellen offertes;08.11.2011-17:08:41;11181
2283;W_Nabellen offertes;16.11.2011-19:08:46;10881
2283;W_Nabellen offertes;18.11.2011-12:03:25;-1
2283;W_Valideren aanvraag;23.11.2011-11:51:45;10972
2283;W_Valideren aanvraag;23.11.2011-12:08:42;10972
2283;W_Nabellen incomplete dossiers;23.11.2011-14:01:49;11169
2283;W_Nabellen incomplete dossiers;24.11.2011-10:08:51;11049
2283;W_Nabellen incomplete dossiers;25.11.2011-13:20:45;10910
2283;W_Nabellen incomplete dossiers;26.11.2011-09:22:56;11000
2284;W_Afhandelen leads;08.11.2011-12:45:43;-1
2284;W_Completeren aanvraag;08.11.2011-12:47:39;-1
2284;W_Completeren aanvraag;08.11.2011-14:31:07;-1
2285;W_Afhandelen leads;08.11.2011-12:44:28;-1
2285;W_Completeren aanvraag;08.11.2011-12:52:21;-1
2286;W_Completeren aanvraag;08.11.2011-16:29:01;11122
2286;W_Completeren aanvraag;09.11.2011-10:42:34;10861
2286;W_Nabellen offertes;17.11.2011-19:28:18;10909
2286;W_Nabellen offertes;28.11.2011-14:53:08;10861
2286;W_Nabellen offertes;28.11.2011-17:52:18;10881
2286;W_Nabellen offertes;28.11.2011-18:25:37;10863
2286;W_Nabellen offertes;08.12.2011-13:19:30;10861
2286;W_Nabellen offertes;09.12.2011-17:04:02;11201
2286;W_Nabellen offertes;09.12.2011-17:08:38;11201
2286;W_Nabellen offertes;15.12.2011-18:27:14;11003
2286;W_Nabellen offertes;15.12.2011-18:39:13;11003
2286;W_Nabellen offertes;15.12.2011-18:46:18;11003
2286;W_Nabellen offertes;15.12.2011-18:48:22;11003
2286;W_Nabellen offertes;15.12.2011-19:33:44;11003
2286;W_Nabellen offertes;21.12.2011-09:09:53;10899
2286;W_Valideren aanvraag;22.12.2011-12:08:03;10809
2287;W_Completeren aanvraag;08.11.2011-13:02:15;10889
2287;W_Nabellen offertes;11.11.2011-10:00:50;10789
2287;W_Valideren aanvraag;15.11.2011-11:24:46;10138
2288;W_Afhandelen leads;08.11.2011-13:41:11;11169
2288;W_Completeren aanvraag;08.11.2011-13:48:45;11169
2288;W_Nabellen offertes;16.11.2011-12:28:26;-1
2288;W_Nabellen offertes;22.11.2011-09:22:11;11189
2288;W_Nabellen offertes;23.11.2011-09:07:46;11259
2288;W_Valideren aanvraag;28.11.2011-10:38:04;10609
2288;W_Nabellen incomplete dossiers;28.11.2011-11:27:57;10931
2288;W_Nabellen incomplete dossiers;28.11.2011-14:13:17;10932
2288;W_Nabellen incomplete dossiers;28.11.2011-14:14:54;10910
2288;W_Nabellen incomplete dossiers;28.11.2011-16:10:04;10881
2288;W_Nabellen incomplete dossiers;28.11.2011-16:19:19;10881
2288;W_Nabellen incomplete dossiers;01.12.2011-07:57:19;11049
2288;W_Valideren aanvraag;01.12.2011-10:19:24;10609
2288;W_Valideren aanvraag;02.12.2011-11:07:01;10609
2288;W_Valideren aanvraag;02.12.2011-11:34:24;10609
2288;W_Valideren aanvraag;02.12.2011-13:04:55;10609
2289;W_Completeren aanvraag;08.11.2011-16:52:12;11119
2289;W_Nabellen offertes;08.11.2011-16:54:17;11119
2289;W_Nabellen offertes;22.11.2011-16:49:56;11122
2289;W_Nabellen offertes;22.11.2011-17:00:08;11122
2289;W_Nabellen offertes;05.12.2011-15:32:49;11180
2289;W_Nabellen offertes;06.12.2011-10:12:47;11049
2289;W_Valideren aanvraag;07.12.2011-15:22:29;10972
2289;W_Nabellen incomplete dossiers;07.12.2011-15:29:57;11189
2289;W_Nabellen incomplete dossiers;07.12.2011-16:24:19;10881
2289;W_Nabellen incomplete dossiers;08.12.2011-07:51:22;11049
2289;W_Valideren aanvraag;08.12.2011-08:56:47;10972
2290;W_Completeren aanvraag;08.11.2011-16:35:20;11122
2290;W_Nabellen offertes;08.11.2011-16:37:08;11122
2290;W_Nabellen offertes;16.11.2011-19:03:08;10881
2291;W_Afhandelen leads;08.11.2011-13:48:18;-1
2291;W_Afhandelen leads;08.11.2011-14:01:16;-1
2291;W_Afhandelen leads;08.11.2011-14:35:02;-1
2292;W_Afhandelen leads;08.11.2011-14:33:28;-1
2293;W_Afhandelen leads;08.11.2011-14:24:27;11169
2293;W_Afhandelen leads;08.11.2011-14:37:14;-1
2294;W_Completeren aanvraag;08.11.2011-14:04:55;10982
2295;W_Completeren aanvraag;08.11.2011-17:08:36;11122
2295;W_Completeren aanvraag;09.11.2011-09:05:59;11189
2295;W_Completeren aanvraag;09.11.2011-10:34:59;-1
2295;W_Nabellen offertes;09.11.2011-10:40:22;-1
2295;W_Nabellen offertes;17.11.2011-19:22:51;10909
2295;W_Nabellen offertes;18.11.2011-12:47:05;-1
2295;W_Valideren aanvraag;22.11.2011-08:23:57;10138
2295;W_Valideren aanvraag;22.11.2011-08:51:37;10138
2296;W_Completeren aanvraag;08.11.2011-14:07:20;-1
2296;W_Nabellen offertes;08.11.2011-14:11:17;-1
2296;W_Nabellen offertes;16.11.2011-12:30:24;-1
2296;W_Nabellen offertes;17.11.2011-08:37:20;-1
2296;W_Valideren aanvraag;18.11.2011-11:08:37;10629
2296;W_Valideren aanvraag;18.11.2011-12:47:04;10809
2296;W_Valideren aanvraag;18.11.2011-14:56:55;11049
2296;W_Nabellen incomplete dossiers;18.11.2011-15:14:50;-1
2296;W_Nabellen incomplete dossiers;18.11.2011-19:45:58;11122
2296;W_Nabellen incomplete dossiers;19.11.2011-09:33:34;10861
2296;W_Nabellen incomplete dossiers;21.11.2011-09:05:44;10910
2296;W_Nabellen incomplete dossiers;21.11.2011-09:34:30;10931
2296;W_Nabellen incomplete dossiers;21.11.2011-17:12:48;10929
2296;W_Nabellen incomplete dossiers;22.11.2011-09:48:55;-1
2296;W_Nabellen incomplete dossiers;22.11.2011-12:21:42;11189
2297;W_Completeren aanvraag;08.11.2011-14:16:05;11203
2297;W_Completeren aanvraag;08.11.2011-14:17:05;11203
2297;W_Completeren aanvraag;08.11.2011-17:15:53;11122
2297;W_Nabellen offertes;16.11.2011-08:37:25;-1
2297;W_Valideren aanvraag;18.11.2011-09:19:59;10609
2298;W_Completeren aanvraag;08.11.2011-15:49:36;11169
2298;W_Completeren aanvraag;08.11.2011-18:46:15;11181
2298;W_Completeren aanvraag;08.11.2011-18:51:09;11119
2299;W_Afhandelen leads;08.11.2011-14:39:04;-1
2300;W_Afhandelen leads;08.11.2011-14:38:34;-1
2300;W_Completeren aanvraag;08.11.2011-16:10:03;11169
2300;W_Completeren aanvraag;08.11.2011-16:11:25;11169
2300;W_Nabellen offertes;16.11.2011-19:00:15;10881
2300;W_Nabellen offertes;21.11.2011-08:59:36;-1
2300;W_Nabellen offertes;22.11.2011-10:24:45;11189
2301;W_Afhandelen leads;08.11.2011-14:47:35;-1
2301;W_Completeren aanvraag;08.11.2011-17:17:42;11119
2301;W_Nabellen offertes;08.11.2011-17:22:29;11119
2301;W_Nabellen offertes;08.11.2011-18:04:06;11119
2301;W_Nabellen offertes;10.11.2011-17:08:59;11181
2301;W_Nabellen offertes;10.11.2011-17:11:11;11181
2301;W_Nabellen offertes;14.11.2011-09:01:54;-1
2301;W_Valideren aanvraag;16.11.2011-09:47:52;10629
2301;W_Nabellen incomplete dossiers;16.11.2011-11:19:07;11169
2301;W_Nabellen incomplete dossiers;16.11.2011-12:45:58;11169
2301;W_Nabellen incomplete dossiers;16.11.2011-12:55:26;11169
2301;W_Nabellen incomplete dossiers;16.11.2011-13:18:48;-1
2301;W_Valideren aanvraag;16.11.2011-14:34:18;10629
2301;W_Valideren aanvraag;16.11.2011-14:44:56;10629
2302;W_Completeren aanvraag;08.11.2011-15:02:53;10982
2302;W_Nabellen offertes;08.11.2011-15:37:45;10982
2302;W_Nabellen offertes;16.11.2011-12:37:57;-1
2302;W_Nabellen offertes;22.11.2011-18:44:20;11119
2302;W_Nabellen offertes;24.11.2011-12:43:15;11121
2302;W_Nabellen offertes;09.12.2011-08:15:29;11121
2303;W_Completeren aanvraag;08.11.2011-16:21:36;11122
2303;W_Completeren aanvraag;08.11.2011-16:57:22;11119
2303;W_Completeren aanvraag;09.11.2011-10:46:32;10861
2303;W_Completeren aanvraag;09.11.2011-17:55:55;11181
2303;W_Completeren aanvraag;09.11.2011-17:57:48;11119
2303;W_Completeren aanvraag;09.11.2011-19:11:12;11181
2303;W_Nabellen offertes;17.11.2011-11:27:18;11049
2303;W_Nabellen offertes;22.11.2011-18:36:50;11119
2303;W_Nabellen offertes;30.11.2011-10:27:15;11259
2303;W_Valideren aanvraag;02.12.2011-15:30:50;10609
2303;W_Valideren aanvraag;02.12.2011-18:42:35;10609
2304;W_Afhandelen leads;08.11.2011-15:01:57;-1
2304;W_Afhandelen leads;08.11.2011-15:13:30;-1
2304;W_Completeren aanvraag;08.11.2011-15:31:43;-1
2304;W_Nabellen offertes;08.11.2011-15:36:15;-1
2304;W_Nabellen offertes;16.11.2011-15:09:42;-1
2304;W_Nabellen offertes;19.11.2011-12:30:00;10913
2304;W_Nabellen offertes;19.11.2011-14:57:34;11000
2304;W_Nabellen offertes;22.11.2011-10:52:11;11259
2304;W_Valideren aanvraag;23.11.2011-18:24:23;10629
2304;W_Nabellen incomplete dossiers;24.11.2011-08:23:49;-1
2304;W_Nabellen incomplete dossiers;24.11.2011-09:04:27;10982
2304;W_Nabellen incomplete dossiers;24.11.2011-09:06:06;10629
2304;W_Nabellen incomplete dossiers;24.11.2011-09:12:00;10982
2305;W_Completeren aanvraag;08.11.2011-18:10:05;11181
2305;W_Completeren aanvraag;08.11.2011-18:13:31;11181
2305;W_Completeren aanvraag;08.11.2011-18:14:01;11181
2305;W_Completeren aanvraag;08.11.2011-18:14:29;11181
2305;W_Completeren aanvraag;08.11.2011-18:15:03;11181
2305;W_Completeren aanvraag;08.11.2011-18:22:02;11181
2305;W_Nabellen offertes;16.11.2011-19:16:58;11119
2305;W_Nabellen offertes;17.11.2011-08:25:58;-1
2305;W_Nabellen offertes;17.11.2011-19:44:56;11119
2305;W_Nabellen offertes;17.11.2011-19:47:06;11119
2305;W_Nabellen offertes;24.11.2011-19:51:05;11000
2306;W_Completeren aanvraag;08.11.2011-15:21:02;-1
2306;W_Nabellen offertes;08.11.2011-15:32:36;10982
2306;W_Nabellen offertes;14.11.2011-13:03:35;10913
2306;W_Nabellen offertes;16.11.2011-14:03:49;10910
2306;W_Nabellen offertes;16.11.2011-14:05:05;10910
2306;W_Nabellen offertes;16.11.2011-14:06:23;10910
2306;W_Nabellen offertes;17.11.2011-11:12:34;10932
2306;W_Nabellen offertes;17.11.2011-11:13:15;-1
2306;W_Valideren aanvraag;17.11.2011-14:20:40;-1
2306;W_Valideren aanvraag;17.11.2011-14:29:46;-1
2306;W_Valideren aanvraag;18.11.2011-08:59:07;10138
2306;W_Nabellen incomplete dossiers;18.11.2011-11:14:06;11169
2306;W_Nabellen incomplete dossiers;18.11.2011-11:55:49;11169
2306;W_Nabellen incomplete dossiers;18.11.2011-12:24:16;-1
2306;W_Nabellen incomplete dossiers;18.11.2011-13:48:29;10939
2306;W_Valideren aanvraag;18.11.2011-14:11:47;10138
2307;W_Afhandelen leads;08.11.2011-15:31:54;-1
2308;W_Completeren aanvraag;08.11.2011-15:33:34;11169
2308;W_Nabellen offertes;12.11.2011-10:56:51;-1
2308;W_Nabellen offertes;16.11.2011-10:39:58;11259
2308;W_Valideren aanvraag;17.11.2011-11:25:17;10609
2308;W_Nabellen incomplete dossiers;17.11.2011-11:28:35;10609
2308;W_Nabellen incomplete dossiers;17.11.2011-14:18:56;10609
2308;W_Nabellen incomplete dossiers;17.11.2011-18:48:02;10929
2308;W_Valideren aanvraag;18.11.2011-06:52:35;10609
2308;W_Valideren aanvraag;21.11.2011-14:45:12;10809
2308;W_Valideren aanvraag;21.11.2011-16:23:03;11181
2308;W_Valideren aanvraag;22.11.2011-07:57:44;10629
2308;W_Nabellen incomplete dossiers;22.11.2011-09:07:16;11169
2309;W_Afhandelen leads;08.11.2011-15:44:34;11169
2310;W_Completeren aanvraag;08.11.2011-16:04:24;-1
2310;W_Completeren aanvraag;08.11.2011-16:08:44;-1
2310;W_Nabellen offertes;08.11.2011-16:15:34;-1
2310;W_Nabellen offertes;16.11.2011-18:58:18;10881
2310;W_Nabellen offertes;29.11.2011-10:33:28;11009
2310;W_Nabellen offertes;29.11.2011-11:22:58;10909
2310;W_Nabellen offertes;06.12.2011-10:03:11;11049
2310;W_Valideren aanvraag;06.12.2011-15:41:43;10899
2310;W_Valideren aanvraag;08.12.2011-11:57:47;10138
2310;W_Valideren aanvraag;08.12.2011-12:48:57;10138
2310;W_Valideren aanvraag;08.12.2011-13:47:48;11169
2310;W_Valideren aanvraag;08.12.2011-14:49:01;11169
2310;W_Valideren aanvraag;08.12.2011-16:53:23;11169
2310;W_Valideren aanvraag;08.12.2011-19:00:43;10861
2310;W_Valideren aanvraag;09.12.2011-09:42:51;10138
2310;W_Valideren aanvraag;09.12.2011-09:49:44;10138
2310;W_Valideren aanvraag;09.12.2011-11:50:47;11169
2310;W_Valideren aanvraag;09.12.2011-12:58:28;10138
2310;W_Valideren aanvraag;09.12.2011-13:03:37;10138
2310;W_Valideren aanvraag;09.12.2011-13:04:02;10138
2310;W_Valideren aanvraag;09.12.2011-14:25:20;11169
2310;W_Valideren aanvraag;09.12.2011-16:55:02;11122
2310;W_Valideren aanvraag;09.12.2011-16:59:53;11122
2310;W_Valideren aanvraag;09.12.2011-17:11:02;11122
2310;W_Valideren aanvraag;09.12.2011-17:17:53;10972
2310;W_Valideren aanvraag;09.12.2011-17:31:51;11122
2310;W_Valideren aanvraag;12.12.2011-07:52:10;10809
2310;W_Valideren aanvraag;13.12.2011-07:42:47;10138
2310;W_Valideren aanvraag;13.12.2011-19:57:11;11119
2310;W_Valideren aanvraag;13.12.2011-19:57:37;11119
2310;W_Valideren aanvraag;14.12.2011-08:07:38;10138
2310;W_Nabellen incomplete dossiers;14.12.2011-08:20:50;10899
2310;W_Valideren aanvraag;14.12.2011-12:35:27;10138
2310;W_Nabellen incomplete dossiers;14.12.2011-14:52:20;11189
2310;W_Nabellen incomplete dossiers;14.12.2011-15:33:36;11189
2310;W_Nabellen incomplete dossiers;14.12.2011-18:10:47;10881
2310;W_Nabellen incomplete dossiers;14.12.2011-18:11:26;10881
2310;W_Nabellen incomplete dossiers;14.12.2011-18:20:22;10881
2310;W_Nabellen incomplete dossiers;14.12.2011-19:58:12;10881
2310;W_Nabellen incomplete dossiers;15.12.2011-11:29:14;11049
2310;W_Nabellen incomplete dossiers;15.12.2011-15:05:49;11169
2310;W_Nabellen incomplete dossiers;15.12.2011-15:11:21;10929
2310;W_Nabellen incomplete dossiers;15.12.2011-16:37:03;11181
2310;W_Nabellen incomplete dossiers;15.12.2011-17:16:35;11181
2310;W_Nabellen incomplete dossiers;16.12.2011-11:07:11;10909
2310;W_Nabellen incomplete dossiers;16.12.2011-11:35:11;10138
2310;W_Nabellen incomplete dossiers;16.12.2011-12:03:56;10909
2310;W_Nabellen incomplete dossiers;19.12.2011-19:32:49;11181
2310;W_Nabellen incomplete dossiers;20.12.2011-07:27:39;10972
2310;W_Nabellen incomplete dossiers;20.12.2011-07:51:15;10138
2310;W_Nabellen incomplete dossiers;22.12.2011-10:00:11;11000
2310;W_Nabellen incomplete dossiers;22.12.2011-10:01:22;11000
2310;W_Nabellen incomplete dossiers;22.12.2011-10:14:17;11000
2310;W_Nabellen incomplete dossiers;22.12.2011-13:18:12;10809
2310;W_Nabellen incomplete dossiers;23.12.2011-18:38:59;10913
2310;W_Nabellen incomplete dossiers;24.12.2011-10:03:10;10929
2310;W_Nabellen incomplete dossiers;27.12.2011-14:35:33;10861
2310;W_Nabellen incomplete dossiers;27.12.2011-17:32:17;10929
2310;W_Nabellen incomplete dossiers;28.12.2011-14:24:23;11169
2310;W_Nabellen incomplete dossiers;28.12.2011-14:37:37;11169
2310;W_Nabellen incomplete dossiers;28.12.2011-14:46:49;10809
2310;W_Nabellen incomplete dossiers;30.12.2011-13:50:00;10789
2310;W_Valideren aanvraag;06.01.2012-07:43:27;10972
2310;W_Valideren aanvraag;06.01.2012-16:02:23;10629
2310;W_Valideren aanvraag;07.01.2012-09:17:48;10138
2310;W_Nabellen incomplete dossiers;07.01.2012-09:18:49;10138
2310;W_Nabellen incomplete dossiers;10.01.2012-08:27:42;10932
2310;W_Nabellen incomplete dossiers;13.01.2012-19:11:11;11122
2310;W_Nabellen incomplete dossiers;16.01.2012-09:22:59;10909
2310;W_Nabellen incomplete dossiers;16.01.2012-15:40:51;11259
2310;W_Nabellen incomplete dossiers;17.01.2012-08:55:57;-1
2310;W_Nabellen incomplete dossiers;17.01.2012-13:20:47;10929
2310;W_Nabellen incomplete dossiers;17.01.2012-19:18:54;10929
2310;W_Nabellen incomplete dossiers;19.01.2012-09:21:09;10931
2311;W_Completeren aanvraag;08.11.2011-17:23:11;11122
2311;W_Completeren aanvraag;09.11.2011-10:49:02;10861
2311;W_Completeren aanvraag;09.11.2011-13:36:29;-1
2311;W_Completeren aanvraag;09.11.2011-17:03:46;10913
2311;W_Nabellen offertes;18.11.2011-18:17:55;11203
2311;W_Nabellen offertes;21.11.2011-14:43:06;10861
2311;W_Nabellen offertes;22.11.2011-17:02:14;11119
2311;W_Nabellen offertes;24.11.2011-19:29:00;10861
2311;W_Nabellen offertes;25.11.2011-19:22:35;11203
2311;W_Nabellen offertes;25.11.2011-19:23:18;10909
2311;W_Nabellen offertes;30.11.2011-16:57:28;11180
2311;W_Nabellen offertes;01.12.2011-17:20:27;11180
2311;W_Nabellen offertes;01.12.2011-18:58:35;11119
2311;W_Nabellen offertes;01.12.2011-19:05:30;11180
2311;W_Nabellen offertes;01.12.2011-19:13:33;11119
2311;W_Nabellen offertes;01.12.2011-19:14:42;11181
2311;W_Nabellen offertes;01.12.2011-19:20:01;10861
2311;W_Nabellen offertes;01.12.2011-19:31:58;11119
2311;W_Nabellen offertes;06.12.2011-11:36:46;-1
2311;W_Nabellen offertes;07.12.2011-19:22:45;11119
2311;W_Nabellen offertes;09.12.2011-15:48:43;11121
2311;W_Nabellen offertes;09.12.2011-18:39:11;11201
2311;W_Nabellen offertes;10.12.2011-08:15:26;11201
2312;W_Completeren aanvraag;08.11.2011-16:37:46;-1
2312;W_Nabellen offertes;08.11.2011-16:48:21;-1
2312;W_Nabellen offertes;09.11.2011-13:11:50;-1
2312;W_Nabellen offertes;10.11.2011-13:36:29;-1
2312;W_Nabellen offertes;12.11.2011-16:01:20;-1
2312;W_Nabellen offertes;21.11.2011-13:47:46;11180
2312;W_Nabellen offertes;21.11.2011-14:57:37;11180
2312;W_Nabellen offertes;21.11.2011-15:05:16;10861
2312;W_Nabellen offertes;22.11.2011-08:33:54;10861
2312;W_Nabellen offertes;08.12.2011-11:00:17;10910
2312;W_Nabellen offertes;09.12.2011-08:15:32;10910
2313;W_Afhandelen leads;08.11.2011-18:21:47;-1
2314;W_Completeren aanvraag;08.11.2011-17:30:35;11122
2315;W_Completeren aanvraag;08.11.2011-17:28:30;10982
2315;W_Nabellen offertes;08.11.2011-17:30:25;10982
2315;W_Nabellen offertes;16.11.2011-10:38:45;11259
2315;W_Valideren aanvraag;17.11.2011-14:05:07;10609
2315;W_Nabellen incomplete dossiers;17.11.2011-14:28:54;11189
2315;W_Nabellen incomplete dossiers;17.11.2011-14:29:21;11189
2315;W_Nabellen incomplete dossiers;18.11.2011-09:09:21;10789
2315;W_Valideren aanvraag;18.11.2011-10:21:22;10609
2316;W_Afhandelen leads;08.11.2011-17:39:59;11119
2316;W_Completeren aanvraag;08.11.2011-17:55:34;11119
2316;W_Nabellen offertes;08.11.2011-18:02:58;11119
2316;W_Nabellen offertes;14.11.2011-09:03:53;-1
2316;W_Valideren aanvraag;16.11.2011-09:47:10;10629
2316;W_Nabellen incomplete dossiers;16.11.2011-10:41:15;11169
2316;W_Nabellen incomplete dossiers;16.11.2011-10:41:26;11169
2316;W_Nabellen incomplete dossiers;16.11.2011-11:05:00;11169
2316;W_Nabellen incomplete dossiers;16.11.2011-11:21:26;11169
2316;W_Nabellen incomplete dossiers;16.11.2011-12:46:41;11169
2316;W_Nabellen incomplete dossiers;16.11.2011-13:19:28;-1
2316;W_Valideren aanvraag;16.11.2011-14:34:18;10629
2316;W_Valideren aanvraag;16.11.2011-14:46:25;10629
2317;W_Completeren aanvraag;08.11.2011-17:48:41;11122
2317;W_Nabellen offertes;08.11.2011-17:50:49;11122
2317;W_Nabellen offertes;08.11.2011-17:51:56;11122
2317;W_Nabellen offertes;16.11.2011-19:14:18;10861
2317;W_Nabellen offertes;16.11.2011-19:32:59;10881
2318;W_Completeren aanvraag;08.11.2011-17:56:58;10982
2318;W_Nabellen offertes;08.11.2011-18:05:40;10982
2318;W_Nabellen offertes;15.11.2011-12:34:42;11259
2318;W_Valideren aanvraag;16.11.2011-09:26:41;10609
2318;W_Valideren aanvraag;16.11.2011-09:30:25;10609
2318;W_Valideren aanvraag;16.11.2011-10:08:15;10609
2319;W_Completeren aanvraag;08.11.2011-18:25:37;11119
2319;W_Completeren aanvraag;09.11.2011-10:52:46;10861
2319;W_Completeren aanvraag;09.11.2011-17:56:06;11181
2319;W_Completeren aanvraag;09.11.2011-17:58:05;11119
2319;W_Completeren aanvraag;09.11.2011-18:01:57;11181
2319;W_Completeren aanvraag;09.11.2011-18:25:17;11122
2319;W_Completeren aanvraag;09.11.2011-18:32:16;11122
2319;W_Nabellen offertes;17.11.2011-12:40:08;-1
2319;W_Nabellen offertes;19.11.2011-15:46:09;10861
2319;W_Nabellen offertes;21.11.2011-18:25:12;10881
2319;W_Nabellen offertes;22.11.2011-08:48:21;-1
2319;W_Nabellen offertes;23.11.2011-17:45:40;-1
2319;W_Nabellen offertes;23.11.2011-18:52:16;-1
2319;W_Nabellen offertes;24.11.2011-10:32:06;10899
2319;W_Valideren aanvraag;28.11.2011-13:17:25;10809
2320;W_Completeren aanvraag;08.11.2011-18:16:31;10909
2320;W_Nabellen offertes;08.11.2011-18:17:22;10909
2320;W_Nabellen offertes;08.11.2011-18:18:07;10909
2320;W_Nabellen offertes;08.11.2011-18:18:59;10909
2320;W_Nabellen offertes;08.11.2011-18:19:32;10909
2320;W_Nabellen offertes;12.11.2011-09:27:11;11121
2320;W_Nabellen offertes;12.11.2011-09:29:12;11121
2320;W_Nabellen offertes;12.11.2011-09:29:25;11121
2320;W_Nabellen offertes;12.11.2011-09:30:26;11121
2320;W_Nabellen offertes;12.11.2011-09:31:54;11121
2320;W_Nabellen offertes;16.11.2011-18:14:10;10881
2320;W_Nabellen offertes;22.11.2011-10:09:13;11049
2320;W_Valideren aanvraag;24.11.2011-06:55:01;10809
2320;W_Valideren aanvraag;24.11.2011-07:22:07;10809
2321;W_Completeren aanvraag;08.11.2011-18:36:05;11122
2321;W_Completeren aanvraag;08.11.2011-18:38:30;11122
2321;W_Completeren aanvraag;09.11.2011-11:07:40;10861
2321;W_Completeren aanvraag;09.11.2011-16:57:25;11181
2321;W_Completeren aanvraag;10.11.2011-19:04:13;11180
2321;W_Completeren aanvraag;11.11.2011-19:26:32;11201
2321;W_Completeren aanvraag;12.11.2011-11:45:35;-1
2321;W_Completeren aanvraag;12.11.2011-13:31:54;11000
2321;W_Completeren aanvraag;06.12.2011-11:29:07;10809
2321;W_Completeren aanvraag;08.12.2011-13:13:05;10863
2321;W_Completeren aanvraag;08.12.2011-18:48:14;11201
2321;W_Completeren aanvraag;09.12.2011-08:15:22;11201
2322;W_Afhandelen leads;08.11.2011-18:35:11;-1
2322;W_Afhandelen leads;08.11.2011-18:40:27;-1
2322;W_Completeren aanvraag;08.11.2011-18:58:16;11181
2322;W_Completeren aanvraag;09.11.2011-11:10:04;10861
2322;W_Completeren aanvraag;09.11.2011-16:58:32;11181
2322;W_Completeren aanvraag;10.11.2011-19:04:44;11180
2322;W_Completeren aanvraag;11.11.2011-19:27:14;11201
2322;W_Completeren aanvraag;12.11.2011-12:10:43;-1
2322;W_Completeren aanvraag;14.11.2011-19:34:03;11181
2322;W_Completeren aanvraag;15.11.2011-17:15:12;-1
2323;W_Completeren aanvraag;08.11.2011-18:52:09;11122
2323;W_Nabellen offertes;08.11.2011-18:55:02;11122
2323;W_Nabellen offertes;08.11.2011-18:57:26;11122
2323;W_Nabellen offertes;08.11.2011-19:00:46;11122
2323;W_Nabellen offertes;15.11.2011-12:02:44;11259
2323;W_Valideren aanvraag;16.11.2011-09:46:48;10609
2323;W_Valideren aanvraag;16.11.2011-13:39:59;10138
2323;W_Nabellen incomplete dossiers;16.11.2011-15:34:06;11169
2323;W_Nabellen incomplete dossiers;16.11.2011-19:24:33;10881
2324;W_Afhandelen leads;08.11.2011-18:23:08;-1
2324;W_Completeren aanvraag;08.11.2011-18:28:16;-1
2324;W_Nabellen offertes;08.11.2011-18:29:37;-1
2324;W_Nabellen offertes;14.11.2011-11:17:34;11259
2324;W_Valideren aanvraag;16.11.2011-13:10:48;10138
2324;W_Valideren aanvraag;16.11.2011-13:24:12;10138
2325;W_Completeren aanvraag;08.11.2011-18:43:16;11119
2325;W_Nabellen offertes;08.11.2011-18:45:06;11119
2325;W_Nabellen offertes;16.11.2011-19:16:28;10861
2325;W_Nabellen offertes;16.11.2011-19:34:20;11119
2325;W_Nabellen offertes;16.11.2011-19:53:51;11119
