case_id;activity;time;Involved ST Function Div
974;Accepted-In Progress;23.04.2012-09:47:54;V3_2
974;Accepted-In Progress;23.04.2012-09:50:00;V3_2
974;Queued-Awaiting Assignment;23.04.2012-09:51:17;V3_2
974;Accepted-In Progress;23.04.2012-10:54:31;V3_2
974;Accepted-Wait - User;23.04.2012-10:58:32;V3_2
974;Accepted-In Progress;23.04.2012-13:17:19;V3_2
974;Accepted-Wait - Vendor;23.04.2012-13:22:12;V3_2
974;Accepted-In Progress;26.04.2012-13:25:01;V3_2
974;Queued-Awaiting Assignment;26.04.2012-13:28:27;V3_2
974;Accepted-In Progress;02.05.2012-14:44:58;V3_2
974;Completed-Resolved;02.05.2012-14:45:20;V3_2
974;Completed-Closed;09.05.2012-23:18:32;V3_2
975;Accepted-In Progress;23.04.2012-14:06:25;A2_4
975;Accepted-In Progress;23.04.2012-14:06:59;A2_4
975;Queued-Awaiting Assignment;23.04.2012-14:10:39;E_6
975;Accepted-In Progress;23.04.2012-14:12:47;E_6
975;Accepted-In Progress;23.04.2012-14:12:50;E_6
975;Accepted-In Progress;23.04.2012-14:37:56;E_5
975;Queued-Awaiting Assignment;23.04.2012-15:18:24;E_4
975;Accepted-In Progress;23.04.2012-15:29:44;E_4
975;Accepted-Assigned;23.04.2012-17:09:54;E_4
975;Accepted-In Progress;27.04.2012-17:36:19;E_4
975;Accepted-Assigned;27.04.2012-17:37:48;E_4
975;Accepted-In Progress;30.04.2012-07:47:22;E_4
975;Accepted-Assigned;30.04.2012-07:47:53;E_4
975;Accepted-In Progress;30.04.2012-08:02:09;E_4
975;Queued-Awaiting Assignment;30.04.2012-09:01:22;E_6
975;Accepted-In Progress;30.04.2012-09:29:32;E_6
975;Completed-Resolved;15.05.2012-09:35:13;E_6
975;Completed-Closed;22.05.2012-23:20:29;E_6
976;Accepted-In Progress;23.04.2012-09:20:33;V3_2
976;Accepted-In Progress;23.04.2012-09:20:59;V3_2
976;Queued-Awaiting Assignment;23.04.2012-09:28:28;A2_2
976;Accepted-In Progress;24.04.2012-08:31:19;A2_2
976;Accepted-Wait;24.04.2012-08:32:21;A2_2
976;Queued-Awaiting Assignment;26.04.2012-12:04:02;V3_2
976;Accepted-In Progress;26.04.2012-14:32:33;V3_2
976;Accepted-Assigned;26.04.2012-14:32:41;V3_2
976;Accepted-In Progress;27.04.2012-10:23:50;V3_2
976;Accepted-Wait;27.04.2012-10:26:38;V3_2
976;Accepted-Wait - User;27.04.2012-10:37:51;V3_2
976;Accepted-In Progress;27.04.2012-12:29:56;V3_2
976;Accepted-Wait - User;27.04.2012-12:30:59;V3_2
976;Accepted-Wait;03.05.2012-12:55:42;V3_2
976;Accepted-In Progress;07.05.2012-13:18:55;V3_2
976;Accepted-Wait - User;07.05.2012-13:20:25;V3_2
976;Accepted-In Progress;10.05.2012-14:23:46;V3_2
976;Completed-Resolved;10.05.2012-14:26:53;V3_2
976;Queued-Awaiting Assignment;10.05.2012-17:42:18;V3_2
976;Accepted-In Progress;11.05.2012-07:41:30;V3_2
976;Accepted-Assigned;11.05.2012-07:42:49;V3_2
976;Accepted-In Progress;14.05.2012-08:56:03;V3_2
976;Accepted-Wait - User;14.05.2012-09:27:55;V3_2
976;Accepted-In Progress;14.05.2012-16:32:22;V3_2
976;Completed-Resolved;14.05.2012-16:53:31;V3_2
976;Completed-Closed;21.05.2012-23:24:25;V3_2
977;Accepted-In Progress;23.04.2012-09:29:30;V3_2
977;Accepted-In Progress;23.04.2012-09:29:37;V3_2
977;Queued-Awaiting Assignment;23.04.2012-09:31:46;V3_2
977;Accepted-In Progress;24.04.2012-15:05:36;V3_2
977;Queued-Awaiting Assignment;24.04.2012-15:14:08;E_5
977;Accepted-In Progress;24.04.2012-15:22:25;E_5
977;Accepted-Wait - User;24.04.2012-15:22:34;E_5
977;Queued-Awaiting Assignment;26.04.2012-09:35:50;V3_2
977;Accepted-In Progress;27.04.2012-09:12:28;V3_2
977;Accepted-Assigned;27.04.2012-09:12:35;V3_2
977;Accepted-In Progress;27.04.2012-10:12:11;V3_2
977;Accepted-Wait - User;27.04.2012-10:14:16;V3_2
977;Accepted-In Progress;27.04.2012-10:53:14;V3_2
977;Accepted-Wait - User;27.04.2012-10:53:42;V3_2
977;Queued-Awaiting Assignment;27.04.2012-11:45:56;E_5
977;Accepted-In Progress;27.04.2012-12:48:13;E_5
977;Queued-Awaiting Assignment;27.04.2012-13:59:17;E_4
977;Accepted-In Progress;27.04.2012-14:17:23;E_4
977;Accepted-Assigned;27.04.2012-16:47:52;E_4
977;Accepted-In Progress;30.04.2012-09:21:23;E_4
977;Queued-Awaiting Assignment;30.04.2012-09:30:00;E_5
977;Accepted-In Progress;30.04.2012-11:02:43;E_5
977;Queued-Awaiting Assignment;30.04.2012-11:05:21;V3_2
977;Accepted-In Progress;30.04.2012-12:53:20;V3_2
977;Queued-Awaiting Assignment;30.04.2012-12:54:04;V3_2
977;Accepted-In Progress;02.05.2012-08:45:10;V3_2
977;Accepted-Wait - User;02.05.2012-09:31:42;V3_2
977;Completed-Resolved;02.05.2012-12:22:00;V3_2
977;Completed-Closed;02.05.2012-23:16:59;V3_2
978;Accepted-In Progress;23.04.2012-09:27:37;V3_2
978;Accepted-In Progress;23.04.2012-09:27:51;V3_2
978;Queued-Awaiting Assignment;23.04.2012-09:59:59;V3_2
978;Accepted-In Progress;23.04.2012-10:00:03;V3_2
978;Queued-Awaiting Assignment;23.04.2012-10:00:21;V3_2
978;Accepted-In Progress;23.04.2012-10:03:01;V3_2
978;Queued-Awaiting Assignment;23.04.2012-10:03:48;V3_2
978;Accepted-In Progress;27.04.2012-09:10:09;V3_2
978;Accepted-Assigned;27.04.2012-09:10:14;V3_2
978;Accepted-In Progress;27.04.2012-11:40:06;V3_2
978;Accepted-Wait - User;27.04.2012-12:04:45;V3_2
978;Accepted-In Progress;04.05.2012-10:21:27;V3_2
978;Completed-Resolved;04.05.2012-10:57:04;V3_2
978;Completed-Closed;04.05.2012-23:16:09;V3_2
979;Accepted-In Progress;23.04.2012-10:29:02;V3_2
979;Accepted-In Progress;23.04.2012-10:31:34;V3_2
979;Queued-Awaiting Assignment;23.04.2012-11:54:46;V3_2
979;Accepted-In Progress;23.04.2012-11:54:49;V3_2
979;Accepted-In Progress;23.04.2012-11:55:00;V3_2
979;Queued-Awaiting Assignment;23.04.2012-11:55:51;E_10
979;Accepted-In Progress;23.04.2012-12:04:59;E_10
979;Accepted-Assigned;23.04.2012-12:08:40;E_10
979;Accepted-In Progress;23.04.2012-13:51:04;E_10
979;Accepted-Wait - User;23.04.2012-13:51:46;E_10
979;Queued-Awaiting Assignment;25.04.2012-08:28:49;E_8
979;Accepted-In Progress;25.04.2012-09:50:08;E_8
979;Accepted-Wait - User;25.04.2012-13:32:54;E_8
979;Completed-Resolved;01.05.2012-14:21:19;E_8
979;Completed-Closed;08.05.2012-23:14:50;E_8
980;Accepted-In Progress;23.04.2012-09:19:37;V3_2
980;Accepted-In Progress;23.04.2012-09:20:59;V3_2
980;Queued-Awaiting Assignment;23.04.2012-10:27:58;V3_2
980;Accepted-In Progress;23.04.2012-10:28:02;V3_2
980;Accepted-Wait;23.04.2012-10:41:49;V3_2
980;Accepted-In Progress;02.05.2012-06:42:40;V3_2
980;Completed-Resolved;02.05.2012-06:43:17;V3_2
980;Completed-Closed;02.05.2012-23:16:59;V3_2
981;Accepted-In Progress;23.04.2012-10:06:25;V3_2
981;Accepted-In Progress;23.04.2012-10:06:43;V3_2
981;Accepted-In Progress;23.04.2012-10:20:32;V3_2
981;Queued-Awaiting Assignment;23.04.2012-10:23:45;A2_2
981;Accepted-In Progress;23.04.2012-11:12:20;A2_2
981;Queued-Awaiting Assignment;23.04.2012-11:14:17;A2_2
981;Accepted-In Progress;23.04.2012-11:14:20;A2_2
981;Accepted-Wait - User;23.04.2012-11:31:53;A2_2
981;Accepted-In Progress;24.04.2012-06:51:57;A2_2
981;Accepted-Wait - User;24.04.2012-06:54:03;A2_2
981;Accepted-In Progress;07.05.2012-14:48:28;A2_2
981;Completed-Resolved;07.05.2012-14:50:47;A2_2
981;Completed-Closed;07.05.2012-23:19:28;A2_2
982;Accepted-In Progress;23.04.2012-09:58:49;V3_2
982;Accepted-In Progress;23.04.2012-09:59:21;V3_2
982;Queued-Awaiting Assignment;23.04.2012-10:08:56;V3_2
982;Accepted-In Progress;23.04.2012-14:20:56;V3_2
982;Accepted-Wait - User;23.04.2012-14:21:52;V3_2
982;Completed-Resolved;03.05.2012-10:32:46;V3_2
982;Completed-Closed;10.05.2012-23:24:01;V3_2
983;Accepted-In Progress;23.04.2012-09:29:07;V3_2
983;Accepted-In Progress;23.04.2012-09:29:27;V3_2
983;Queued-Awaiting Assignment;23.04.2012-09:37:03;V3_2
983;Accepted-In Progress;23.04.2012-10:18:56;V3_2
983;Queued-Awaiting Assignment;23.04.2012-10:21:48;V3_2
983;Accepted-In Progress;27.04.2012-09:11:00;V3_2
983;Accepted-Assigned;27.04.2012-09:11:09;V3_2
983;Accepted-In Progress;27.04.2012-13:21:37;V3_2
983;Accepted-Wait - User;27.04.2012-13:25:17;V3_2
983;Accepted-In Progress;03.05.2012-09:08:35;V3_2
983;Accepted-Wait - User;04.05.2012-09:52:47;V3_2
983;Accepted-Assigned;08.05.2012-10:47:35;V3_2
983;Accepted-In Progress;08.05.2012-10:47:58;V3_2
983;Accepted-Wait - User;08.05.2012-10:53:55;V3_2
983;Accepted-In Progress;10.05.2012-08:35:38;V3_2
983;Accepted-Wait - User;10.05.2012-09:01:40;V3_2
983;Accepted-In Progress;11.05.2012-08:53:04;V3_2
983;Completed-Resolved;11.05.2012-15:12:28;V3_2
983;Completed-Closed;11.05.2012-23:19:53;V3_2
984;Accepted-In Progress;23.04.2012-09:50:59;A2_1
984;Accepted-In Progress;23.04.2012-09:51:41;A2_1
984;Queued-Awaiting Assignment;23.04.2012-09:54:30;A2_1
984;Accepted-In Progress;23.04.2012-09:55:30;A2_1
984;Queued-Awaiting Assignment;23.04.2012-09:57:15;A2_5
984;Accepted-In Progress;23.04.2012-11:34:50;A2_5
984;Queued-Awaiting Assignment;23.04.2012-11:44:25;A2_5
984;Accepted-In Progress;23.04.2012-13:08:07;A2_5
984;Queued-Awaiting Assignment;23.04.2012-13:12:01;A2_5
984;Accepted-In Progress;23.04.2012-13:54:59;A2_5
984;Queued-Awaiting Assignment;23.04.2012-13:57:15;A2_1
984;Accepted-In Progress;23.04.2012-14:12:12;A2_1
984;Queued-Awaiting Assignment;23.04.2012-14:19:45;A2_1
984;Accepted-In Progress;23.04.2012-14:47:57;A2_1
984;Accepted-Wait - User;23.04.2012-14:48:09;A2_1
984;Queued-Awaiting Assignment;24.04.2012-12:42:54;A2_1
984;Accepted-In Progress;24.04.2012-12:44:18;A2_1
984;Queued-Awaiting Assignment;24.04.2012-12:45:00;A2_5
984;Accepted-In Progress;24.04.2012-14:17:41;A2_5
984;Queued-Awaiting Assignment;24.04.2012-14:32:37;A2_5
984;Accepted-In Progress;25.04.2012-13:41:47;A2_5
984;Queued-Awaiting Assignment;25.04.2012-13:45:34;A2_5
984;Queued-Awaiting Assignment;25.04.2012-13:45:35;A2_5
984;Accepted-In Progress;25.04.2012-14:05:27;A2_5
984;Queued-Awaiting Assignment;25.04.2012-14:06:06;A2_1
984;Accepted-In Progress;25.04.2012-14:07:04;A2_1
984;Queued-Awaiting Assignment;25.04.2012-14:09:23;A2_1
984;Accepted-In Progress;26.04.2012-06:03:23;A2_1
984;Accepted-Wait - User;26.04.2012-06:03:29;A2_1
984;Accepted-Wait - User;28.04.2012-14:06:09;A2_1
984;Completed-Resolved;09.05.2012-08:19:26;A2_1
984;Completed-Closed;09.05.2012-08:19:28;A2_1
985;Accepted-In Progress;23.04.2012-09:41:46;A2_4
985;Accepted-In Progress;23.04.2012-09:44:57;A2_4
985;Queued-Awaiting Assignment;23.04.2012-09:45:43;A2_2
985;Accepted-In Progress;23.04.2012-09:48:08;A2_2
985;Accepted-Wait;23.04.2012-09:50:07;A2_2
985;Queued-Awaiting Assignment;23.04.2012-09:50:21;A2_4
985;Accepted-In Progress;23.04.2012-10:24:53;A2_4
985;Queued-Awaiting Assignment;23.04.2012-10:26:50;A2_2
985;Accepted-In Progress;23.04.2012-14:03:41;A2_2
985;Accepted-Wait;23.04.2012-14:49:19;A2_2
985;Queued-Awaiting Assignment;23.04.2012-14:55:12;E_10
985;Accepted-In Progress;23.04.2012-14:57:51;E_10
985;Accepted-Wait - Implementation;23.04.2012-15:29:07;E_10
985;Accepted-Wait - User;24.04.2012-15:53:02;E_10
985;Completed-Resolved;02.05.2012-13:11:13;E_10
985;Completed-Closed;09.05.2012-23:18:32;E_10
986;Accepted-In Progress;23.04.2012-09:55:06;V3_2
986;Accepted-In Progress;23.04.2012-09:55:33;V3_2
986;Accepted-Wait;23.04.2012-10:02:32;V3_2
986;Accepted-In Progress;23.04.2012-10:03:40;V3_2
986;Completed-Resolved;23.04.2012-10:22:38;V3_2
986;Accepted-In Progress;23.04.2012-10:31:56;V3_2
986;Queued-Awaiting Assignment;23.04.2012-11:16:44;E_10
986;Accepted-In Progress;23.04.2012-11:18:49;E_10
986;Accepted-Assigned;23.04.2012-11:24:31;E_10
986;Accepted-In Progress;23.04.2012-11:28:39;E_10
986;Accepted-Wait - User;23.04.2012-11:34:19;E_10
986;Accepted-In Progress;24.04.2012-08:22:00;E_10
986;Accepted-Wait - User;24.04.2012-08:22:33;E_10
986;Accepted-In Progress;27.04.2012-11:27:44;E_10
986;Completed-Resolved;27.04.2012-11:29:04;E_10
986;Queued-Awaiting Assignment;02.05.2012-09:02:33;V3_2
986;Accepted-In Progress;02.05.2012-09:31:15;V3_2
986;Accepted-Wait - User;02.05.2012-11:17:27;V3_2
986;Completed-Resolved;03.05.2012-09:14:20;V3_2
986;Completed-Closed;10.05.2012-23:24:01;V3_2
987;Accepted-In Progress;23.04.2012-10:07:53;V3_2
987;Accepted-In Progress;23.04.2012-10:10:07;V3_2
987;Queued-Awaiting Assignment;23.04.2012-10:11:35;A2_2
987;Accepted-In Progress;23.04.2012-11:36:00;A2_2
987;Queued-Awaiting Assignment;23.04.2012-11:38:56;V3_2
987;Accepted-In Progress;27.04.2012-10:36:06;V3_2
987;Queued-Awaiting Assignment;27.04.2012-10:36:22;E_10
987;Accepted-In Progress;27.04.2012-10:39:17;E_10
987;Accepted-Wait - Implementation;27.04.2012-14:32:24;E_10
987;Completed-Resolved;14.05.2012-09:15:16;E_10
987;Completed-Closed;21.05.2012-23:24:24;E_10
988;Queued-Awaiting Assignment;23.04.2012-11:36:29;Dummy
988;Accepted-In Progress;23.04.2012-12:40:03;Dummy
988;Accepted-In Progress;23.04.2012-12:40:07;Dummy
988;Accepted-Assigned;23.04.2012-12:40:27;Dummy
988;Accepted-In Progress;23.04.2012-12:51:24;Dummy
988;Accepted-In Progress;23.04.2012-12:54:08;Dummy
988;Accepted-Wait - User;23.04.2012-12:54:12;Dummy
988;Accepted-In Progress;24.04.2012-09:26:27;Dummy
988;Queued-Awaiting Assignment;24.04.2012-09:29:03;E_7
988;Accepted-In Progress;24.04.2012-09:33:13;E_7
988;Queued-Awaiting Assignment;25.04.2012-09:44:37;V3_2
988;Accepted-In Progress;27.04.2012-10:48:34;V3_2
988;Accepted-Assigned;27.04.2012-10:48:39;V3_2
988;Accepted-Assigned;27.04.2012-10:48:40;V3_2
988;Accepted-In Progress;27.04.2012-11:45:28;V3_2
988;Queued-Awaiting Assignment;27.04.2012-11:46:34;E_7
988;Accepted-In Progress;27.04.2012-11:49:55;E_7
988;Accepted-Assigned;27.04.2012-14:10:31;E_7
988;Accepted-In Progress;27.04.2012-14:37:34;E_7
988;Queued-Awaiting Assignment;27.04.2012-14:41:36;V3_2
988;Accepted-In Progress;27.04.2012-14:55:50;V3_2
988;Accepted-Assigned;27.04.2012-14:55:55;V3_2
988;Accepted-In Progress;02.05.2012-07:16:21;V3_2
988;Accepted-Assigned;02.05.2012-07:46:53;V3_2
988;Accepted-In Progress;02.05.2012-07:49:00;V3_2
988;Completed-Resolved;03.05.2012-08:52:44;V3_2
988;Completed-Closed;10.05.2012-23:23:59;V3_2
989;Queued-Awaiting Assignment;23.04.2012-12:22:46;Dummy
989;Accepted-In Progress;23.04.2012-12:27:56;Dummy
989;Accepted-In Progress;23.04.2012-12:28:00;Dummy
989;Accepted-Assigned;23.04.2012-12:28:13;Dummy
989;Accepted-In Progress;23.04.2012-12:47:50;Dummy
989;Accepted-Wait - User;23.04.2012-12:49:09;Dummy
989;Accepted-In Progress;24.04.2012-08:22:27;Dummy
989;Accepted-Wait - User;24.04.2012-08:24:40;Dummy
989;Accepted-In Progress;26.04.2012-09:37:36;Dummy
989;Accepted-Wait - User;26.04.2012-09:39:27;Dummy
989;Accepted-In Progress;02.05.2012-11:59:31;Dummy
989;Accepted-Wait - User;02.05.2012-12:05:38;Dummy
989;Accepted-In Progress;02.05.2012-12:30:07;Dummy
989;Accepted-Assigned;02.05.2012-12:37:02;Dummy
989;Accepted-In Progress;02.05.2012-12:44:37;Dummy
989;Completed-Resolved;02.05.2012-13:05:33;Dummy
989;Completed-Closed;09.05.2012-23:18:29;Dummy
990;Queued-Awaiting Assignment;23.04.2012-12:43:44;V3_2
990;Accepted-In Progress;23.04.2012-14:09:38;V3_2
990;Accepted-In Progress;23.04.2012-14:09:42;V3_2
990;Queued-Awaiting Assignment;23.04.2012-14:09:57;V3_2
990;Accepted-In Progress;23.04.2012-14:15:53;V3_2
990;Accepted-Assigned;23.04.2012-14:16:23;V3_2
990;Accepted-In Progress;23.04.2012-15:18:33;V3_2
990;Accepted-Wait;23.04.2012-15:18:52;V3_2
990;Accepted-Wait - User;23.04.2012-18:19:14;V3_2
990;Completed-Resolved;25.04.2012-20:25:47;V3_2
990;Completed-Closed;25.04.2012-23:08:22;V3_2
990;Accepted-In Progress;02.05.2012-20:19:38;V3_2
990;Accepted-In Progress;02.05.2012-20:20:14;V3_2
990;Queued-Awaiting Assignment;02.05.2012-20:20:21;V3_2
990;Accepted-In Progress;03.05.2012-12:20:44;V3_2
990;Completed-Resolved;03.05.2012-16:37:02;V3_2
990;Completed-Closed;03.05.2012-23:17:46;V3_2
991;Accepted-In Progress;23.04.2012-10:26:06;V3_2
991;Accepted-In Progress;23.04.2012-10:26:19;V3_2
991;Queued-Awaiting Assignment;23.04.2012-10:27:20;V3_2
991;Accepted-In Progress;24.04.2012-10:15:29;V3_2
991;Accepted-In Progress;24.04.2012-10:15:36;V3_2
991;Queued-Awaiting Assignment;24.04.2012-10:21:09;Dummy
991;Queued-Awaiting Assignment;24.04.2012-10:21:10;Dummy
991;Accepted-In Progress;24.04.2012-12:53:43;Dummy
991;Queued-Awaiting Assignment;24.04.2012-12:54:59;V3_2
991;Accepted-In Progress;24.04.2012-12:57:10;V3_2
991;Accepted-Wait - User;24.04.2012-12:58:51;V3_2
991;Accepted-In Progress;07.05.2012-10:23:42;V3_2
991;Completed-Resolved;07.05.2012-10:25:15;V3_2
991;Completed-Closed;14.05.2012-23:22:34;V3_2
992;Accepted-In Progress;23.04.2012-10:30:39;V3_2
992;Accepted-In Progress;23.04.2012-10:30:58;V3_2
992;Queued-Awaiting Assignment;23.04.2012-10:41:28;Dummy
992;Accepted-In Progress;24.04.2012-07:13:16;Dummy
992;Accepted-Wait - User;24.04.2012-14:07:26;Dummy
992;Queued-Awaiting Assignment;26.04.2012-08:46:27;Dummy
992;Accepted-In Progress;26.04.2012-08:47:28;Dummy
992;Accepted-Wait - User;26.04.2012-08:47:43;Dummy
992;Accepted-In Progress;03.05.2012-14:08:52;Dummy
992;Completed-Resolved;03.05.2012-14:08:53;Dummy
992;Completed-Closed;03.05.2012-23:17:49;Dummy
993;Accepted-In Progress;23.04.2012-10:27:32;A2_1
993;Accepted-In Progress;23.04.2012-10:27:56;A2_1
993;Queued-Awaiting Assignment;23.04.2012-10:30:03;Dummy
993;Accepted-In Progress;23.04.2012-15:05:48;Dummy
993;Accepted-Assigned;23.04.2012-15:06:24;Dummy
993;Accepted-In Progress;25.04.2012-10:08:46;Dummy
993;Accepted-Wait - Implementation;25.04.2012-10:08:51;Dummy
993;Accepted-Wait - Customer;25.04.2012-10:09:42;Dummy
993;Completed-Resolved;11.05.2012-08:30:07;Dummy
993;Completed-Closed;11.05.2012-23:19:52;Dummy
994;Accepted-In Progress;23.04.2012-13:09:32;E_10
994;Accepted-In Progress;23.04.2012-13:09:40;E_10
994;Accepted-Wait - User;23.04.2012-13:15:56;E_10
994;Queued-Awaiting Assignment;25.04.2012-14:14:28;V3_2
994;Accepted-In Progress;25.04.2012-14:31:49;V3_2
994;Accepted-Assigned;25.04.2012-14:31:58;V3_2
994;Accepted-In Progress;26.04.2012-08:26:36;V3_2
994;Accepted-Wait - User;26.04.2012-08:26:41;V3_2
994;Completed-Resolved;02.05.2012-08:11:38;V3_2
994;Completed-Closed;09.05.2012-23:18:29;V3_2
995;Accepted-In Progress;23.04.2012-11:12:44;Dummy
995;Accepted-In Progress;23.04.2012-11:12:51;Dummy
995;Queued-Awaiting Assignment;23.04.2012-11:16:33;A2_4
995;Accepted-In Progress;23.04.2012-21:09:55;A2_4
995;Queued-Awaiting Assignment;23.04.2012-21:11:55;Dummy
995;Accepted-In Progress;23.04.2012-21:46:18;Dummy
995;Queued-Awaiting Assignment;23.04.2012-21:47:40;V3_2
995;Accepted-In Progress;24.04.2012-10:19:43;V3_2
995;Accepted-Wait;24.04.2012-10:27:48;V3_2
995;Completed-Resolved;02.05.2012-11:11:17;V3_2
995;Completed-Closed;09.05.2012-23:18:31;V3_2
996;Accepted-In Progress;23.04.2012-10:52:42;A2_1
996;Accepted-In Progress;23.04.2012-10:52:59;A2_1
996;Accepted-Wait;23.04.2012-11:28:09;A2_1
996;Accepted-Wait - User;23.04.2012-13:44:14;A2_1
996;Accepted-Wait - User;26.04.2012-11:07:48;A2_1
996;Completed-Resolved;02.05.2012-16:11:29;A2_1
996;Completed-Closed;02.05.2012-23:16:55;A2_1
997;Accepted-In Progress;23.04.2012-12:07:38;V3_2
997;Accepted-In Progress;23.04.2012-12:08:32;V3_2
997;Accepted-In Progress;23.04.2012-12:15:01;V3_2
997;Accepted-Wait;23.04.2012-12:15:12;V3_2
997;Queued-Awaiting Assignment;23.04.2012-12:15:31;A2_2
997;Accepted-In Progress;24.04.2012-14:09:36;A2_2
997;Accepted-Wait;24.04.2012-14:10:59;A2_2
997;Accepted-Wait - Implementation;24.04.2012-14:54:56;A2_2
997;Queued-Awaiting Assignment;26.04.2012-10:38:40;Dummy
997;Accepted-In Progress;04.05.2012-09:54:24;Dummy
997;Completed-Resolved;04.05.2012-09:55:04;Dummy
997;Completed-Closed;04.05.2012-23:16:05;Dummy
998;Accepted-In Progress;23.04.2012-11:03:02;V3_2
998;Accepted-In Progress;23.04.2012-11:04:44;V3_2
998;Queued-Awaiting Assignment;23.04.2012-11:25:30;E_7
998;Accepted-In Progress;23.04.2012-12:46:46;E_7
998;Queued-Awaiting Assignment;23.04.2012-13:54:54;V3_2
998;Accepted-In Progress;27.04.2012-10:36:56;V3_2
998;Queued-Awaiting Assignment;27.04.2012-10:37:03;V3_2
998;Accepted-In Progress;28.04.2012-01:41:33;V3_2
998;Queued-Awaiting Assignment;28.04.2012-01:41:45;V3_2
998;Accepted-In Progress;03.05.2012-12:42:39;V3_2
998;Accepted-Wait - User;03.05.2012-12:55:00;V3_2
998;Accepted-In Progress;04.05.2012-11:09:53;V3_2
998;Accepted-Wait - User;04.05.2012-11:13:01;V3_2
998;Accepted-In Progress;07.05.2012-11:52:34;V3_2
998;Accepted-Wait - User;07.05.2012-11:56:58;V3_2
998;Accepted-In Progress;07.05.2012-13:02:36;V3_2
998;Completed-Resolved;07.05.2012-13:02:55;V3_2
998;Completed-Closed;14.05.2012-23:22:33;V3_2
999;Accepted-In Progress;23.04.2012-11:28:03;Dummy
999;Accepted-In Progress;23.04.2012-11:30:20;Dummy
999;Queued-Awaiting Assignment;23.04.2012-11:31:42;Dummy
999;Accepted-In Progress;23.04.2012-11:52:16;Dummy
999;Accepted-Assigned;23.04.2012-11:52:55;Dummy
999;Accepted-In Progress;23.04.2012-13:44:41;Dummy
999;Queued-Awaiting Assignment;23.04.2012-14:03:18;Dummy
999;Accepted-In Progress;23.04.2012-15:06:29;Dummy
999;Accepted-Assigned;23.04.2012-15:13:26;Dummy
999;Accepted-In Progress;04.05.2012-08:04:28;Dummy
999;Completed-Resolved;04.05.2012-08:04:52;Dummy
999;Completed-Closed;04.05.2012-23:16:06;Dummy
1000;Accepted-In Progress;23.04.2012-11:11:55;V3_2
1000;Accepted-In Progress;23.04.2012-11:13:23;V3_2
1000;Queued-Awaiting Assignment;23.04.2012-11:14:32;V3_2
1000;Accepted-In Progress;23.04.2012-12:27:54;V3_2
1000;Accepted-Assigned;23.04.2012-12:28:35;V3_2
1000;Accepted-In Progress;26.04.2012-18:28:07;V3_2
1000;Accepted-Wait;26.04.2012-18:28:29;V3_2
1000;Accepted-Wait - User;02.05.2012-19:25:37;V3_2
1000;Completed-Resolved;02.05.2012-19:31:11;V3_2
1000;Completed-Closed;02.05.2012-23:16:55;V3_2
1001;Accepted-In Progress;23.04.2012-11:28:25;A2_1
1001;Accepted-In Progress;23.04.2012-11:29:34;A2_1
1001;Accepted-Wait - User;23.04.2012-12:23:52;A2_1
1001;Queued-Awaiting Assignment;23.04.2012-12:50:08;A2_1
1001;Accepted-In Progress;23.04.2012-12:53:38;A2_1
1001;Queued-Awaiting Assignment;23.04.2012-12:59:11;A2_1
1001;Accepted-In Progress;23.04.2012-13:25:12;A2_1
1001;Accepted-Assigned;23.04.2012-13:32:30;A2_1
1001;Accepted-In Progress;23.04.2012-13:39:04;A2_1
1001;Accepted-Wait - User;23.04.2012-13:41:57;A2_1
1001;Queued-Awaiting Assignment;23.04.2012-16:19:08;A2_1
1001;Accepted-In Progress;23.04.2012-17:42:45;A2_1
1001;Queued-Awaiting Assignment;23.04.2012-18:14:06;A2_1
1001;Accepted-In Progress;24.04.2012-05:54:46;A2_1
1001;Accepted-Assigned;24.04.2012-06:23:12;A2_1
1001;Accepted-In Progress;24.04.2012-09:48:38;A2_1
1001;Accepted-Wait - User;24.04.2012-09:48:47;A2_1
1001;Accepted-Wait - User;26.04.2012-12:25:57;A2_1
1001;Completed-Resolved;07.05.2012-11:43:26;A2_1
1001;Completed-Closed;14.05.2012-23:22:33;A2_1
1002;Accepted-In Progress;23.04.2012-11:25:09;V3_2
1002;Accepted-In Progress;23.04.2012-11:26:03;V3_2
1002;Queued-Awaiting Assignment;23.04.2012-11:27:40;V3_2
1002;Queued-Awaiting Assignment;23.04.2012-11:27:41;V3_2
1002;Accepted-In Progress;23.04.2012-13:22:42;V3_2
1002;Queued-Awaiting Assignment;23.04.2012-13:24:46;V3_2
1002;Accepted-In Progress;27.04.2012-10:41:54;V3_2
1002;Queued-Awaiting Assignment;27.04.2012-10:42:00;V3_2
1002;Accepted-In Progress;28.04.2012-01:29:20;V3_2
1002;Queued-Awaiting Assignment;28.04.2012-01:29:24;V3_2
1002;Accepted-In Progress;30.04.2012-06:01:08;V3_2
1002;Accepted-Wait - User;30.04.2012-07:42:04;V3_2
1002;Queued-Awaiting Assignment;30.04.2012-08:19:51;E_5
1002;Accepted-In Progress;30.04.2012-08:35:06;E_5
1002;Queued-Awaiting Assignment;30.04.2012-08:35:54;E_4
1002;Accepted-In Progress;02.05.2012-08:26:45;E_4
1002;Completed-Resolved;02.05.2012-08:28:38;E_4
1002;Completed-Closed;09.05.2012-23:18:31;E_4
1003;Accepted-In Progress;23.04.2012-11:36:25;V3_2
1003;Accepted-In Progress;23.04.2012-11:37:10;V3_2
